ano,sigla_uf,id_municipio,nome_municipio,tipo_eleicao,id_candidato_bd,nome_urna,sigla_partido,cargo,situacao,resultado,votos,genero,raca,idade
2000,SE,2800308,Aracaju,eleicao ordinaria,829690,Barreto,PPS,vereador,deferido,eleito,4947,masculino,,36.0
2000,SE,2800308,Aracaju,eleicao ordinaria,722885,Chiquinho,PT,vereador,deferido,eleito,4729,masculino,,44.0
2000,SE,2800308,Aracaju,eleicao ordinaria,723744,Sérgio Carlos,PSDB,vereador,deferido,eleito,4046,masculino,,42.0
2000,SE,2800308,Aracaju,eleicao ordinaria,658924,Bomfim,PPS,vereador,deferido,eleito por media,3300,masculino,,56.0
2000,SE,2800308,Aracaju,eleicao ordinaria,626985,Carlos Magal,PT,vereador,deferido,eleito,3168,masculino,,47.0
2000,SE,2800308,Aracaju,eleicao ordinaria,456176,Antônio Samarone De Santana,PT,vereador,deferido,eleito por media,3070,masculino,,46.0
2000,SE,2800308,Aracaju,eleicao ordinaria,820910,John Kennedy,PMDB,vereador,deferido,eleito,2988,masculino,,37.0
2000,SE,2800308,Aracaju,eleicao ordinaria,272779,Jidenal Santos,PMDB,vereador,deferido,eleito,2897,masculino,,60.0
2000,SE,2800308,Aracaju,eleicao ordinaria,797341,Nilza,PMDB,vereador,deferido,eleito por media,2601,feminino,,40.0
2000,SE,2800308,Aracaju,eleicao ordinaria,1340785,Zeca Menezes,PTB,vereador,deferido,eleito,2538,masculino,,29.0
2000,SE,2800308,Aracaju,eleicao ordinaria,429249,Evandro França,PTB,vereador,deferido,eleito por media,2374,masculino,,49.0
2000,SE,2800308,Aracaju,eleicao ordinaria,1023714,Mendonça Prado,PFL,vereador,deferido,eleito,2302,masculino,,34.0
2000,SE,2800308,Aracaju,eleicao ordinaria,590115,Mineiro,PST,vereador,deferido,eleito,2292,masculino,,54.0
2000,SE,2800308,Aracaju,eleicao ordinaria,1016577,Soares,PC do B,vereador,deferido,eleito por media,2099,feminino,,38.0
2000,SE,2800308,Aracaju,eleicao ordinaria,880011,Gilson,PPB,vereador,deferido,eleito,1994,masculino,,37.0
2000,SE,2800308,Aracaju,eleicao ordinaria,1353587,Pastor Joaldo Barreto,PDT,vereador,deferido,eleito,1897,masculino,,31.0
2000,SE,2800308,Aracaju,eleicao ordinaria,615447,Pastor Antonio Dos Santos,PDT,vereador,deferido,eleito,1893,masculino,,45.0
2000,SE,2800308,Aracaju,eleicao ordinaria,634616,Jane Melo,PFL,vereador,deferido,eleito por media,1796,feminino,,47.0
2000,SE,2800308,Aracaju,eleicao ordinaria,97331,Elber,PSB,vereador,deferido,eleito,1535,masculino,,56.0
2000,SE,2800308,Aracaju,eleicao ordinaria,1029728,Vovô Monteiro,PDT,vereador,deferido,eleito por media,1513,masculino,,38.0
2000,SE,2800308,Aracaju,eleicao ordinaria,97050,Francisco Pinto Façanha,PSB,vereador,deferido,eleito por media,1416,masculino,,63.0
2004,SE,2800308,Aracaju,eleicao ordinaria,1135378,Fábio Henrique,PDT,vereador,deferido,eleito,6672,masculino,,32.0
2004,SE,2800308,Aracaju,eleicao ordinaria,1012676,Professor Iran,PT,vereador,deferido,eleito,6316,masculino,,38.0
2004,SE,2800308,Aracaju,eleicao ordinaria,1340785,Zeca,PSB,vereador,deferido,eleito,5702,masculino,,33.0
2004,SE,2800308,Aracaju,eleicao ordinaria,429249,Evando Franca,PTB,vereador,deferido,eleito,5223,masculino,,53.0
2004,SE,2800308,Aracaju,eleicao ordinaria,723744,Sérgio Goes,PL,vereador,deferido,eleito,5167,masculino,,46.0
2004,SE,2800308,Aracaju,eleicao ordinaria,1479896,Pastor Jony,PL,vereador,deferido,eleito por media,4768,masculino,,27.0
2004,SE,2800308,Aracaju,eleicao ordinaria,1016577,Tania Soares,PC do B,vereador,deferido,eleito,4704,feminino,,42.0
2004,SE,2800308,Aracaju,eleicao ordinaria,607414,Emanuel Nascimento,PT,vereador,deferido,eleito,4665,masculino,,49.0
2004,SE,2800308,Aracaju,eleicao ordinaria,808525,Conceição Vieira,PT,vereador,deferido,eleito,4463,feminino,,50.0
2004,SE,2800308,Aracaju,eleicao ordinaria,607814,Pedrinho Andrade,PT,vereador,deferido,eleito por media,4225,masculino,,47.0
2004,SE,2800308,Aracaju,eleicao ordinaria,1480736,Sandro De Miro,PV,vereador,deferido,eleito,4197,masculino,,27.0
2004,SE,2800308,Aracaju,eleicao ordinaria,1447142,Vinicius Porto,PFL,vereador,deferido,eleito,4195,masculino,,28.0
2004,SE,2800308,Aracaju,eleicao ordinaria,1531566,Juvêncio Oliveira,PFL,vereador,deferido,eleito,3775,masculino,,42.0
2004,SE,2800308,Aracaju,eleicao ordinaria,1340473,Elber Batalha,PSB,vereador,deferido,eleito por media,3682,masculino,,31.0
2004,SE,2800308,Aracaju,eleicao ordinaria,1198191,Nitinho,PRONA,vereador,deferido,eleito,3444,masculino,,38.0
2004,SE,2800308,Aracaju,eleicao ordinaria,507571,Dr Gonzaga,PMDB,vereador,deferido,eleito,3302,masculino,,54.0
2004,SE,2800308,Aracaju,eleicao ordinaria,475137,Daniel  Fortes,PSC,vereador,deferido,eleito,3175,masculino,,49.0
2004,SE,2800308,Aracaju,eleicao ordinaria,569803,Dr. Manuel Marcos,PFL,vereador,deferido,eleito por media,3112,masculino,,55.0
2004,SE,2800308,Aracaju,eleicao ordinaria,634038,Valdir Santos,PT do B,vereador,deferido,eleito,2261,masculino,,46.0
2008,SE,2800308,Aracaju,eleicao ordinaria,1230211,Robson Viana,PT,vereador,deferido,eleito,8093,masculino,,37.0
2008,SE,2800308,Aracaju,eleicao ordinaria,1354413,Simone Gois,PT,vereador,deferido,eleito,5719,feminino,,38.0
2008,SE,2800308,Aracaju,eleicao ordinaria,429249,Evando Franca,PTB,vereador,deferido,eleito,5225,masculino,,57.0
2008,SE,2800308,Aracaju,eleicao ordinaria,1340473,Elber Batalha Filho,PSB,vereador,deferido,eleito,4762,masculino,,35.0
2008,SE,2800308,Aracaju,eleicao ordinaria,507571,Dr. Gonzaga,PMDB,vereador,deferido,eleito,4586,masculino,,58.0
2008,SE,2800308,Aracaju,eleicao ordinaria,1436119,Fábio Mitidieri,PDT,vereador,deferido,eleito,4515,masculino,,32.0
2008,SE,2800308,Aracaju,eleicao ordinaria,1198191,Nitinho,DEM,vereador,deferido,eleito,4371,masculino,,42.0
2008,SE,2800308,Aracaju,eleicao ordinaria,1353400,Jailton Santana,PSC,vereador,deferido,eleito,4294,masculino,,38.0
2008,SE,2800308,Aracaju,eleicao ordinaria,607414,Emanuel Nascimento,PT,vereador,deferido,eleito,4051,masculino,,53.0
2008,SE,2800308,Aracaju,eleicao ordinaria,354653,Miriam Ribeiro,PSDB,vereador,deferido,eleito,4018,feminino,,63.0
2008,SE,2800308,Aracaju,eleicao ordinaria,1479896,Pastor Jony,PRB,vereador,deferido,eleito por media,4004,masculino,,31.0
2008,SE,2800308,Aracaju,eleicao ordinaria,1795289,Danilo Segundo,PSB,vereador,deferido,eleito por media,3964,masculino,,29.0
2008,SE,2800308,Aracaju,eleicao ordinaria,968744,Matos,PDT,vereador,deferido,eleito,3879,masculino,,46.0
2008,SE,2800308,Aracaju,eleicao ordinaria,774520,Ivaldo José,PDT,vereador,deferido,eleito por media,3846,masculino,,47.0
2008,SE,2800308,Aracaju,eleicao ordinaria,1531566,Juvencio Oliveira,DEM,vereador,deferido,eleito,3817,masculino,,45.0
2008,SE,2800308,Aracaju,eleicao ordinaria,607492,Professora Rosangela,PT,vereador,deferido,eleito,3689,feminino,,54.0
2008,SE,2800308,Aracaju,eleicao ordinaria,1704390,Karla,PC do B,vereador,deferido,eleito,3646,feminino,,30.0
2008,SE,2800308,Aracaju,eleicao ordinaria,634038,Valdir Santos,PT do B,vereador,deferido,eleito,3499,masculino,,50.0
2008,SE,2800308,Aracaju,eleicao ordinaria,572009,Dr. Emerson,PT,vereador,deferido,eleito por media,3409,masculino,,55.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1012676,Iran Barbosa,PT,vereador,deferido,eleito por qp,7808,masculino,,46.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1230211,Robson Viana,PMDB,vereador,deferido,eleito por qp,5794,masculino,,41.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1198191,Nitinho,DEM,vereador,deferido,eleito por qp,5279,masculino,,46.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1354225,Dr. Agnaldo,PR,vereador,deferido,eleito por qp,5262,masculino,,43.0
2012,SE,2800308,Aracaju,eleicao ordinaria,266172,Adelson Barreto Filho,PSL,vereador,deferido,eleito por qp,5091,masculino,,26.0
2012,SE,2800308,Aracaju,eleicao ordinaria,569803,Dr. Manuel Marcos,DEM,vereador,deferido,eleito por qp,4883,masculino,,63.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1787591,Daniela Fortes,PR,vereador,deferido,eleito por qp,4531,feminino,,32.0
2012,SE,2800308,Aracaju,eleicao ordinaria,634038,Valdir Santos,PT do B,vereador,deferido,eleito por qp,4471,masculino,,54.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1479896,Pastor Jony,PRB,vereador,deferido,eleito por qp,4400,masculino,,35.0
2012,SE,2800308,Aracaju,eleicao ordinaria,179986,Lucas Aribé,PSB,vereador,deferido,eleito por qp,4311,masculino,,26.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1447441,Pastor Roberto Morais,PR,vereador,deferido,eleito por media,4287,masculino,,39.0
2012,SE,2800308,Aracaju,eleicao ordinaria,900364,Max Prejuizo,PSB,vereador,deferido,eleito por qp,4140,masculino,,42.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1012496,Renilson Felix,DEM,vereador,deferido,eleito por qp,4127,masculino,,49.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1447142,Vinícius Porto,DEM,vereador,deferido,eleito por media,4110,masculino,,36.0
2012,SE,2800308,Aracaju,eleicao ordinaria,507571,Dr.Gonzaga,PMDB,vereador,deferido,eleito por qp,4108,masculino,,62.0
2012,SE,2800308,Aracaju,eleicao ordinaria,607414,Emmanuel Nascimento,PT,vereador,deferido,eleito por qp,3967,masculino,,57.0
2012,SE,2800308,Aracaju,eleicao ordinaria,572009,Dr. Emerson,PT,vereador,deferido,eleito por media,3881,masculino,,59.0
2012,SE,2800308,Aracaju,eleicao ordinaria,225846,Lucimara,PC do B,vereador,deferido,eleito por qp,3791,feminino,,40.0
2012,SE,2800308,Aracaju,eleicao ordinaria,774520,Ivaldo Jose,PSD,vereador,deferido,eleito por media,3542,masculino,,51.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1318924,Augusto Do Japãozinho,PRTB,vereador,deferido,eleito por qp,3512,masculino,,42.0
2012,SE,2800308,Aracaju,eleicao ordinaria,294794,Anderson De Tuca,PRTB,vereador,deferido,eleito por qp,3075,masculino,,24.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1353400,Jailton Santana,PSC,vereador,deferido,eleito por qp,3049,masculino,,42.0
2012,SE,2800308,Aracaju,eleicao ordinaria,1446502,Adriano,PSDB,vereador,deferido,eleito por qp,3037,masculino,,39.0
2012,SE,2800308,Aracaju,eleicao ordinaria,755691,Agamenon Sobral,PP,vereador,deferido,eleito por qp,1616,masculino,,51.0
2016,SE,2800308,Aracaju,eleicao ordinaria,1012676,Iran Barbosa,PT,vereador,deferido,eleito por qp,8809,masculino,parda,50.0
2016,SE,2800308,Aracaju,eleicao ordinaria,1447142,Vinicius Porto,DEM,vereador,deferido,eleito por qp,7802,masculino,branca,40.0
2016,SE,2800308,Aracaju,eleicao ordinaria,214662,Kitty Lima,REDE,vereador,deferido,eleito por qp,4925,feminino,branca,28.0
2016,SE,2800308,Aracaju,eleicao ordinaria,1531566,Juvencio Oliveira,DEM,vereador,deferido,eleito por qp,4861,masculino,parda,53.0
2016,SE,2800308,Aracaju,eleicao ordinaria,179986,Lucas Aribé,PSB,vereador,deferido,eleito por qp,4812,masculino,parda,30.0
2016,SE,2800308,Aracaju,eleicao ordinaria,1293094,Zezinho Do Bugio,PTB,vereador,deferido,eleito por qp,4548,masculino,parda,44.0
2016,SE,2800308,Aracaju,eleicao ordinaria,1088554,Isac,PC do B,vereador,deferido,eleito por qp,4428,masculino,branca,45.0
2016,SE,2800308,Aracaju,eleicao ordinaria,883894,Bigode Do Santa Maria,MDB,vereador,deferido,eleito por qp,4367,masculino,parda,59.0
2016,SE,2800308,Aracaju,eleicao ordinaria,294794,Anderson De Tuca,PRTB,vereador,deferido,eleito por qp,4064,masculino,parda,28.0
2016,SE,2800308,Aracaju,eleicao ordinaria,1293368,Pastor Alves,REPUBLICANOS,vereador,deferido,eleito por qp,3996,masculino,branca,52.0
2016,SE,2800308,Aracaju,eleicao ordinaria,569803,Dr. Manuel Marcos,PSDB,vereador,deferido,eleito por qp,3932,masculino,preta,67.0
2016,SE,2800308,Aracaju,eleicao ordinaria,429249,Evando Franca,PSD,vereador,deferido,eleito por qp,3848,masculino,parda,65.0
2016,SE,2800308,Aracaju,eleicao ordinaria,1198191,Nitinho,PSD,vereador,deferido,eleito por qp,3726,masculino,branca,50.0
2016,SE,2800308,Aracaju,eleicao ordinaria,972937,Dra. Emília Corrêa,PATRIOTA,vereador,deferido,eleito por media,3652,feminino,branca,54.0
2016,SE,2800308,Aracaju,eleicao ordinaria,507571,Dr. Gonzaga,MDB,vereador,deferido,eleito por media,3350,masculino,branca,66.0
2016,SE,2800308,Aracaju,eleicao ordinaria,1340473,Elber Batalha,PSB,vereador,deferido,eleito por qp,3252,masculino,parda,43.0
