ano,genero,total_por_genero,total,porcentagem
2000,feminino,12,199.0,0.06030150753768844
2000,masculino,187,199.0,0.9396984924623115
2004,feminino,21,193.0,0.10880829015544041
2004,masculino,172,193.0,0.8911917098445595
2008,feminino,34,215.0,0.15813953488372093
2008,masculino,181,215.0,0.8418604651162791
2012,feminino,36,218.0,0.1651376146788991
2012,masculino,182,218.0,0.8348623853211009
2016,feminino,41,250.0,0.164
2016,masculino,209,250.0,0.836
2020,feminino,45,244.0,0.18442622950819673
2020,masculino,199,244.0,0.8155737704918032
