ano,genero,total_por_genero,total,porcentagem
2000,feminino,136,797.0,0.17063989962358847
2000,masculino,661,797.0,0.8293601003764115
2004,feminino,115,693.0,0.16594516594516595
2004,masculino,578,693.0,0.834054834054834
2008,feminino,103,695.0,0.14820143884892087
2008,masculino,592,695.0,0.8517985611510791
2012,feminino,122,795.0,0.15345911949685534
2012,masculino,673,795.0,0.8465408805031447
2016,feminino,129,801.0,0.16104868913857678
2016,masculino,672,801.0,0.8389513108614233
2020,feminino,134,804.0,0.16666666666666666
2020,masculino,670,804.0,0.8333333333333334
