ano,genero,total_por_genero,total,porcentagem
2000,feminino,853,4372.0,0.19510521500457456
2000,masculino,3519,4372.0,0.8048947849954254
2004,feminino,943,4050.0,0.2328395061728395
2004,masculino,3107,4050.0,0.7671604938271605
2008,feminino,816,3700.0,0.22054054054054054
2008,masculino,2884,3700.0,0.7794594594594595
2012,feminino,1582,5000.0,0.3164
2012,masculino,3418,5000.0,0.6836
2016,feminino,1680,5106.0,0.3290246768507638
2016,masculino,3426,5106.0,0.6709753231492362
2020,feminino,2087,6076.0,0.3434825543120474
2020,masculino,3989,6076.0,0.6565174456879526
